iter	Passed	Remaining
911	5301	511
912	5302	505
913	5304	499
914	5305	492
915	5306	486
916	5308	480
917	5310	474
918	5311	468
919	5313	462
920	5314	455
921	5315	449
922	5317	443
923	5318	437
924	5319	431
925	5321	425
926	5322	419
927	5323	413
928	5325	406
929	5326	400
930	5328	394
931	5329	388
932	5331	382
933	5332	376
934	5334	370
935	5335	364
936	5337	358
937	5339	352
938	5340	346
939	5341	340
940	5343	335
941	5345	329
942	5347	323
943	5348	317
944	5350	311
945	5351	305
946	5353	299
947	5354	293
948	5356	287
949	5357	281
950	5359	276
951	5360	270
952	5361	264
953	5363	258
954	5364	252
955	5365	246
956	5367	241
957	5368	235
958	5369	229
959	5371	223
960	5372	218
961	5374	212
962	5375	206
963	5377	200
964	5378	195
965	5379	189
966	5380	183
967	5382	177
968	5383	172
969	5384	166
970	5386	160
971	5388	155
972	5389	149
973	5390	143
974	5392	138
975	5393	132
976	5395	127
977	5396	121
978	5398	115
979	5399	110
980	5401	104
981	5403	99
982	5404	93
983	5406	87
984	5407	82
985	5409	76
986	5410	71
987	5411	65
988	5413	60
989	5414	54
990	5415	49
991	5416	43
992	5418	38
993	5419	32
994	5420	27
995	5422	21
996	5423	16
997	5424	10
998	5425	5
999	5427	0
